ID,Area,Severity,Type,Location,Evidence,Impact,Recommended fix
F-01,Auth / API,Critical,Security,"services/backend-rust/src/main.rs (list_users create_user delete_user cleanup_events ingest source/NLP CRUD); live GET /nlp/api/v1/users","require_admin only on interoperability writes and console PUT/audit. Production GET users HTTP 200 total=2 both role=admin permissions=[*]. cleanup_events is unauthenticated DELETE FROM disease_events (not invoked).","Account takeover user wipe data destruction dictionary/source tampering. UI AuthGuard does not protect the API.","Apply require_admin/require_user to every mutating and admin-read route. Public allowlist only health public-dashboard login. Rotate credentials after lockdown."
F-02,Auth / CORS,Critical,Security,"main.rs CorsLayer::permissive(); live ACAO=* ACAM=* ACAH=*","Confirmed on production /users /public-dashboard /analyze-url /auth/login.","Cross-origin reads of users and article text; cross-origin POSTs if cookies are added later.","Explicit origin allowlist (the Next app). No wildcard with credentials."
F-03,Auth / passwords,High,Security,"main.rs hash_password! ~5046 unsalted SHA-256; login has no lockout","Sha256 of raw password hex-encoded. Unlimited 401s on /api/auth/login.","Stolen hashes are crackable; credential stuffing is unbounded.","Argon2id/bcrypt; throttle+lockout; invalidate tokens on password change."
F-04,Auth / UI vs API,High,Security,"LayoutContent.tsx AuthGuard; lib/api.ts postTo/delFrom omit Authorization","CRUD pages are client-guarded; most write helpers do not send Bearer. Tokens in localStorage.","Module permissions are cosmetic. Any client can hit open APIs.","Send Bearer on mutations; enforce server-side; prefer httpOnly cookies."
F-05,Auth / SSRF & upload,High,Security,"POST /api/v1/analyze-url; next.config.mjs rewrite /api/v1/console/upload; collector upload_asset ~213","Unauthenticated URL fetch and base64 MinIO upload. Docs: MinIO anonymous download.","Internal fetch / object-storage injection.","Auth; URL host allowlist; upload type/size checks; private bucket + signed URLs."
F-06,Dashboard aggregates,High,DataMismatch,"public_dashboard SQL LIMIT 100 (main.rs ~4021) vs unbounded trend_row/weekly_trend","Live locations.length=100. kpis.deaths=110578 vs trends.deaths.current=18913817 vs heatmap deaths~18.57M. kpis.events=1975 vs trends 3154 vs weekly_trend 8638. Comment claims one aggregation.","Headline KPIs (especially deaths) are not the same numbers as other widgets in the same JSON.","Remove LIMIT from source-of-truth totals; paginate map pins separately; one CTE for kpis/trends/weekly/by_*."
F-07,Dashboard vs TV vs Reports,High,DataMismatch,"app/page.tsx ~981-1027; app/tv/page.tsx ~113-115; app/reports/page.tsx ~253-258","Homepage uses kpis for cases/deaths and trends for locations. TV uses trends.*.current. Reports calls unfiltered public-dashboard plus events?per_page=250. README says both /nlp and /nlp/tv use trends.","Three routes show different Detected Cases/Deaths/Locations.","One metric helper; reports must use the same filtered/deduped query; fix README."
F-08,Parallel aggregate endpoints,High,DataMismatch,"dashboard_stats; summary; spatial_heatmap; disease_trend_overview; morbidity_mortality_handler","Stats/summary: no date/confidence/dedupe/UNKNOWN filter. Heatmap maps unknown country to Other and drops it; dashboard uses OUTSIDE ASEAN. Morbidity COALESCE(published_at created_at) against README. Live /summary includes UNKNOWN 438M and NEGATIVE 82M.","Same homepage widgets cannot agree.","Shared valid_events view: health|skdr known disease confidence published_at URL-dedupe country normalize."
F-09,Extracted case inflation,High,DataMismatch,"extractors.py DEFAULT_CASE_COUNT=1; SUM(case_count) in dashboard SQL; live /summary HCMC Dengue 2000612033","Vietnam ~2.004B dengue cases across dashboard/heatmap. Missing counts default to 1 then get summed.","Detected Cases is not epidemiologically usable and drowns real outbreaks.","Reject/cap implausible counts; require explicit case context; never default 1 into aggregates."
F-10,Date window / epi-week cap,High,Bug,"app/page.tsx endWeek:36; EpiFilterBar reset Math.min(curW 36)","Audit date 2026-09-15 is ISO week 38. TV/reports omit week params (full year)."," /nlp drops latest epi weeks vs /tv and /reports.","Default endWeek to getCurrentEpiWeek(); remove hard cap 36."
