Kategori,Fitur / Parameter,PHASE 1,PHASE 2,Keterangan & Bentuk di Phase 2
MENU,Menu Label,History Monitoring,Crawl History,Di Phase 2 dinamai Crawl History (Matriks Hasil Crawl)
MENU,Url,/data-crawling,/nlp/crawl-history,Rute baru Next.js App Router
VARIABLE,Url,V,V,Tetap Ada: Digabung sebagai clickable hyperlink pada kolom Article Title & Link + modal pop-up
VARIABLE,Source,V,V,Menjadi Source & Channel (nama media asal + badge jalur crawling: Continuous/Manual/Analyze URL)
VARIABLE,Article Title,V,V,Menjadi Article Title & Link (judul + tautan langsung ke artikel asli)
VARIABLE,No,V,V,Nomor urut baris data (dengan sticky freeze column di sisi kiri)
VARIABLE,Status,V,V,Dari status baca (Read/Unread) menjadi status validasi: Reviewed vs Needs Review
VARIABLE,Country,V,V,Menjadi Country & Location (nama negara + bendera nasional)
VARIABLE,Province / City,V,V,Tetap Ada: Digabung di baris kedua persis di bawah nama negara pada kolom Country & Location
VARIABLE,Region,V,V,Tetap Ada: Terintegrasi pada filter cakupan kawasan (ASEAN / Non-ASEAN) & metadata lokasi
VARIABLE,Lat / Long,V,V,"Tetap Ada: Di Phase 1 terpisah 2 kolom, di Phase 2 disatukan menjadi 1 kolom rapi Lat / Long"
VARIABLE,Disease,V,V,Nama penyakit terstandarisasi ICD-11
VARIABLE,Cases,V,V,Jumlah kasus penyakit (dengan agregasi multi-lokasi jika ada)
VARIABLE,Deaths,V,V,Jumlah kematian penyakit (dengan agregasi multi-lokasi jika ada)
VARIABLE,Language,X,V,"Baru di Phase 2: Kolom deteksi otomatis bahasa artikel (id, en, th, vi, ms, dll.)"
VARIABLE,Article Date,V,V,Tanggal publikasi artikel berita asli
VARIABLE,Crawling Date,V,V,Waktu penarikan data oleh crawler
VARIABLE,Case Date,V,V,Tetap Ada: Tersedia di modal detail & tab All Debug Logs
VARIABLE,Action (Modal Summary),X,V,Baru di Phase 2: Tombol Summary untuk membuka modal verifikasi bukti teks asli & ringkasan AI
FILTER,Search Keyword (Q),V,V,Pencarian teks cepat terindeks (debounced 400ms)
FILTER,Country / Region,V,V,"Filter kawasan ASEAN-11, OUTSIDE ASEAN, atau per negara spesifik"
FILTER,Disease,V,V,Filter berdasarkan penyakit target
FILTER,Date Range (From - To),V,V,Filter rentang tanggal publikasi/crawling
FILTER,Crawl Channel,X,V,"Baru di Phase 2: Filter jalur crawling (All, Continuous, Manual, Analyze URL)"
FILTER,Quality Tier,X,V,"Baru di Phase 2: Penyaring kualitas (Surveillance, Review, Noise, All)"
FILTER,Processing Status,X,V,"Baru di Phase 2: Filter status pemrosesan (Processed, Needs Review, Failed)"
FILTER,Geographic Filter (Has Geo),X,V,Baru di Phase 2: Filter data yang memiliki koordinat GPS
FILTER,Batch Job ID,X,V,Baru di Phase 2: Filter riwayat penarikan per ID tugas batch
EXPORT,Export to CSV,V,V,Unduh seluruh data matriks dalam format file .csv
EXPORT,Export to Excel (XLSX),V,V,Unduh seluruh data matriks dalam format spreadsheet .xlsx
EXPORT,Copy Data,V,X,Di Phase 1 ada tombol copy clipboard flat teks; di Phase 2 digantikan oleh ekspor file resmi CSV/XLSX
